                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0665,                 2.2907,                  2.635,                0.34133,                0.44355,                0.30721,                 0.1171,                 2.0847,                 2.4066,                 2.7484,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0907,                 2.3434,                 2.6475,                0.25126,                0.33871,                0.19419,                0.06942,                 2.4202,                 3.7396,                 3.1138,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.1003,                 2.3291,                 2.6521,                0.26659,                0.47581,                0.22433,                0.07821,                 2.2055,                 4.5027,                 2.9106,               0.001307,               0.001307,               0.001307
                     38,                 2.0623,                 2.2894,                 2.6198,                 0.3373,                0.43548,                0.28757,                0.09956,                 2.1245,                 2.9002,                 2.7912,              0.0012872,              0.0012872,              0.0012872
                     39,                  2.071,                 2.3165,                 2.6233,                0.37947,                0.29098,                0.23826,                0.07495,                 2.2715,                 3.5465,                 2.9102,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0177,                 2.3013,                 2.5738,                0.40905,                0.41129,                0.36244,                0.15318,                   2.06,                 2.2582,                 2.7116,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.9464,                 2.2131,                 2.5303,                0.52424,                0.46774,                0.44664,                0.19182,                 1.9449,                 2.1814,                 2.6551,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0022,                 2.1647,                 2.5687,                0.39788,                0.52419,                0.39946,                0.16805,                 1.9754,                 2.3383,                 2.6875,               0.001208,               0.001208,               0.001208
                     43,                 1.9701,                 2.1908,                 2.5685,                0.41399,                0.53226,                0.43613,                0.16986,                 2.0221,                 2.2251,                 2.7139,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.9038,                 2.0795,                 2.4852,                0.35338,                 0.3871,                0.32138,                0.12533,                 2.1334,                 3.0535,                  2.833,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.8902,                 2.1282,                 2.4796,                 0.3932,                0.43548,                0.27401,                0.10434,                 2.3276,                 2.8469,                 3.0012,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.9603,                 2.1571,                 2.5292,                 0.5182,                0.41637,                0.36166,                0.13677,                 2.1828,                 2.3387,                 2.7894,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9554,                 2.1358,                 2.5017,                0.50367,                 0.4583,                0.41025,                0.17335,                  1.982,                  2.591,                 2.6253,               0.001109,               0.001109,               0.001109
                     48,                 1.8995,                 2.1109,                 2.4477,                0.39383,                0.41129,                0.34884,                0.14338,                 2.1097,                 4.1354,                 2.7392,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.903,                 2.0886,                 2.4691,                0.45045,                 0.3629,                0.35645,                0.14658,                 2.1828,                  2.808,                 2.7843,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8797,                 2.1125,                   2.46,                0.46593,                0.50806,                0.49846,                0.22594,                 1.9012,                 2.0242,                 2.5681,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8266,                   1.99,                 2.4362,                0.60984,                0.45161,                0.51822,                0.24534,                 1.8702,                 1.9191,                 2.5636,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.7866,                 1.9822,                 2.3542,                0.60142,                0.53545,                0.58041,                0.26113,                 1.8419,                 1.8151,                 2.4866,                0.00101,                0.00101,                0.00101
                     53,                 1.8088,                 1.9256,                 2.3805,                0.55687,                0.54839,                 0.5584,                0.26927,                  1.812,                 1.8562,                 2.4636,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7308,                 1.8588,                 2.3038,                0.63051,                    0.5,                0.55888,                0.26802,                  1.793,                 1.8995,                 2.4535,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7476,                 1.8257,                  2.311,                0.57471,                 0.5231,                0.52866,                0.24014,                 1.8615,                 1.9065,                 2.4671,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7463,                 1.8988,                 2.3337,                0.50713,                    0.5,                 0.5169,                0.26001,                 1.8457,                 1.8626,                 2.5275,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7833,                 1.8833,                 2.3361,                  0.557,                0.39546,                 0.4161,                0.19264,                 1.9163,                   2.33,                 2.5987,               0.000911,               0.000911,               0.000911
                     58,                 1.7488,                 1.9154,                 2.3557,                0.54335,                0.48387,                0.49938,                0.23194,                 1.8998,                 2.1014,                 2.5611,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.7932,                 1.8526,                 2.3539,                0.62605,                0.51307,                0.56917,                0.28255,                 1.8087,                 1.7967,                 2.4907,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7421,                  1.823,                 2.2726,                0.56848,                0.54185,                0.57077,                0.28477,                 1.8215,                 1.7955,                 2.4964,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7254,                 1.8322,                 2.2839,                0.60166,                0.49194,                0.53122,                0.24865,                 1.9906,                   1.99,                 2.6253,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.7822,                 1.8309,                 2.3145,                 0.7209,                0.58065,                0.64301,                0.31583,                 1.7454,                 1.7367,                 2.3723,               0.000812,               0.000812,               0.000812
                     63,                 1.6979,                 1.7854,                 2.2743,                0.63972,                0.50806,                 0.5672,                0.29616,                 1.7386,                 1.9264,                 2.3959,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.7252,                 1.7449,                 2.2219,                0.69066,                0.51613,                0.55928,                0.28365,                 1.7537,                 1.7326,                 2.3803,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6977,                 1.7144,                 2.2393,                 0.6462,                0.53226,                0.61633,                0.30082,                  1.695,                 1.6131,                 2.3355,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6579,                 1.7795,                 2.2165,                0.66255,                0.54839,                0.61272,                0.32393,                 1.7373,                 1.5606,                 2.4111,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6437,                 1.7778,                 2.2444,                0.69033,                0.53934,                0.63148,                0.31441,                 1.7665,                 1.6964,                 2.4745,               0.000713,               0.000713,               0.000713
                     68,                 1.6493,                 1.7536,                 2.2608,                0.68439,                0.55963,                0.66464,                0.33798,                 1.7705,                 1.6033,                 2.4447,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.7067,                 1.7488,                 2.2757,                0.71159,                0.55714,                0.62473,                0.31657,                 1.6771,                 1.6036,                 2.3309,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6224,                 1.6259,                 2.1607,                0.73428,                0.58065,                0.65455,                0.32417,                  1.673,                 1.6231,                 2.2934,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6563,                 1.6512,                 2.2019,                0.68777,                0.64516,                0.66079,                0.33198,                 1.6551,                 1.6528,                 2.2819,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6228,                 1.6785,                 2.1901,                0.82695,                 0.5781,                0.70376,                0.33952,                 1.6512,                 1.5805,                 2.2939,               0.000614,               0.000614,               0.000614
                     73,                 1.6716,                 1.6986,                 2.2313,                0.73737,                0.52419,                0.65182,                0.32182,                 1.7482,                 1.6171,                 2.3718,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6139,                 1.7241,                 2.1805,                0.64586,                0.64516,                0.67484,                0.34681,                 1.6979,                 1.5294,                 2.3392,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5724,                 1.6252,                 2.1262,                0.63712,                0.64516,                0.65756,                0.34297,                 1.6926,                 1.5107,                 2.3404,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5917,                  1.646,                 2.1561,                0.70653,                0.58249,                0.63094,                 0.3424,                  1.734,                 1.5229,                 2.3856,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5209,                 1.5655,                 2.0916,                0.79115,                0.54991,                0.63869,                0.33373,                  1.626,                 1.4704,                 2.2873,               0.000515,               0.000515,               0.000515
                     78,                 1.5716,                   1.57,                 2.1041,                0.69336,                 0.6129,                0.67139,                0.34226,                 1.6265,                 1.4991,                 2.3158,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5779,                  1.614,                 2.1305,                0.70665,                0.56338,                0.64305,                0.32417,                 1.7199,                 1.5591,                 2.3916,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5761,                 1.6099,                 2.1315,                0.75897,                0.54839,                0.65699,                0.32959,                 1.6724,                 1.5472,                  2.331,              0.0004556,              0.0004556,              0.0004556
