                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.016,                 3.4173,                 4.1431,                0.00197,                0.95726,                0.11918,                0.03581,                 2.0949,                 11.745,                 3.5275,                0.00036,                0.00036,                0.00036
                      2,                 2.9812,                  3.342,                 3.9725,                 0.0019,                0.94872,                0.09849,                0.02488,                 2.0112,                 15.164,                 3.1657,             0.00073634,             0.00073634,             0.00073634
                      3,                  2.816,                 3.3512,                 3.8124,                0.01081,                0.78632,                0.06521,                0.01732,                 2.1973,                 44.425,                 4.3099,              0.0011089,              0.0011089,              0.0011089
                      4,                 2.7092,                  3.242,                 3.6159,                0.01954,                0.62393,                0.01743,                0.00557,                 2.1726,                 131.78,                 3.8942,              0.0014777,              0.0014777,              0.0014777
                      5,                 2.6768,                 3.1873,                 3.4636,                0.01625,                0.75214,                0.03627,                0.01187,                 2.0369,                 376.28,                 3.9416,              0.0018428,              0.0018428,              0.0018428
                      6,                 2.6394,                 3.1975,                 3.4061,                0.04879,                0.10256,                0.03342,                0.01004,                 2.3162,                 28.084,                 4.6215,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.5724,                 3.1622,                 3.2853,                0.02117,                0.58974,                0.01985,                0.00669,                 2.1083,                 33.929,                 2.9985,              0.0019505,              0.0019505,              0.0019505
                      8,                 2.5642,                 3.0811,                 3.1604,                0.02696,                0.05983,                0.01071,                 0.0029,                 2.3881,                 23.069,                 3.6011,              0.0019406,              0.0019406,              0.0019406
                      9,                 2.4427,                 2.9983,                 3.0699,                0.01977,                0.34188,                0.01675,                0.00445,                  2.143,                 10.683,                 2.9766,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.4472,                 2.9629,                 3.0581,                 0.1076,                0.17094,                0.06817,                 0.0237,                 2.0961,                 9.8864,                 2.8428,              0.0019208,              0.0019208,              0.0019208
                     11,                 2.4468,                 2.8645,                 2.9745,                0.10002,                0.33333,                  0.081,                0.02609,                 2.1495,                 5.1316,                 3.0669,              0.0019109,              0.0019109,              0.0019109
                     12,                 2.4064,                 2.8296,                 2.9355,                0.08637,                0.30769,                0.06804,                0.02173,                 2.2594,                 5.2235,                  3.198,               0.001901,               0.001901,               0.001901
                     13,                 2.3907,                 2.7639,                 2.8746,                0.08772,                0.26496,                0.06864,                0.02413,                 2.1115,                 5.6052,                 2.9569,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.3288,                 2.7052,                 2.8425,                0.01098,                 0.7265,                0.04895,                0.01439,                 2.4289,                 4.1634,                 3.3776,              0.0018812,              0.0018812,              0.0018812
                     15,                 2.3938,                 2.7587,                 2.9133,                0.11758,                0.34188,                0.07011,                0.02116,                 2.0476,                 8.3498,                 2.7783,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.3355,                 2.6189,                 2.8269,                0.09357,                0.35897,                0.07929,                0.02596,                 1.8599,                 7.2713,                 2.4872,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.2461,                 2.5639,                 2.7515,                0.10113,                 0.4188,                0.09014,                0.03166,                 1.9805,                 14.279,                 2.6627,              0.0018515,              0.0018515,              0.0018515
                     18,                 2.2548,                 2.4843,                 2.7587,                0.11358,                0.31624,                 0.0923,                 0.0303,                 1.9317,                 11.271,                 2.6246,              0.0018416,              0.0018416,              0.0018416
