                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0252,                 3.8689,                 4.1391,                0.00196,                0.95726,                0.14006,                0.06166,                 2.0694,                 11.738,                 3.4554,                0.00062,                0.00062,                0.00062
                      2,                 2.9246,                 3.7265,                 3.9228,                0.01174,                0.78632,                0.01448,                0.00427,                 2.2481,                 322.07,                 5.9917,              0.0012475,              0.0012475,              0.0012475
                      3,                 2.7914,                 3.6799,                 3.7121,                0.01851,                0.63248,                0.05698,                0.01417,                 2.9783,                 377.16,                 13.204,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.7178,                  3.641,                  3.521,                0.00259,                0.77778,                0.01961,                0.00515,                 2.3514,                 13.314,                 3.4144,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6923,                 3.5261,                  3.359,                0.02194,                0.41026,                 0.0266,                0.00921,                 2.0112,                 24.181,                 2.7413,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.5351,                 3.5226,                 3.2335,                0.00196,                0.96581,                0.01031,                0.00261,                 2.1458,                 9.8977,                 2.9287,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.5338,                 3.4298,                 3.1636,                0.00456,                0.33333,                0.00849,                0.00198,                 2.5012,                 6.7677,                 4.0967,               0.001901,               0.001901,               0.001901
                      8,                 2.4689,                 3.4703,                  3.122,                0.01691,                0.73504,                0.07812,                0.01916,                  1.921,                 9.0337,                 2.6127,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.5035,                 3.4357,                 3.1041,                0.00187,                0.94872,                0.01317,                0.00301,                 1.9662,                 9.0479,                 2.6836,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.5062,                 3.4263,                  3.065,                0.02398,                0.58974,                0.02773,                0.00784,                 1.9871,                 7.3381,                  2.703,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.4287,                 3.3708,                 2.9958,                0.04587,                0.55556,                0.07295,                0.02228,                 2.1796,                 4.8578,                 2.8708,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.4572,                 3.2809,                 2.9475,                0.00331,                 0.5812,                0.00377,                0.00125,                 2.6292,                 4.8142,                 3.7707,               0.001802,               0.001802,               0.001802
                     13,                 2.4348,                 3.1266,                 2.9446,                0.04632,                0.40171,                0.03797,                0.01138,                 2.0179,                 6.7455,                 2.7303,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.3765,                 3.1012,                 2.9101,                0.06572,                0.57265,                0.07355,                0.02211,                  1.999,                 7.6531,                 2.6664,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.3089,                  2.996,                 2.8331,                0.06764,                0.09402,                0.05424,                0.01611,                 1.9813,                 4.0298,                 2.6678,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.3334,                 2.9937,                 2.8356,                0.16811,                0.10256,                0.06383,                0.02327,                 2.0516,                 4.0043,                 3.0082,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.2812,                 2.9779,                 2.8058,                0.06619,                0.02564,                0.03582,                0.01323,                 1.9107,                  13.67,                  2.626,               0.001703,               0.001703,               0.001703
                     18,                 2.2512,                 2.9926,                 2.7519,                0.08945,                0.26496,                0.08406,                0.02419,                 1.8393,                 8.9134,                 2.4889,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.2784,                 2.8384,                 2.7672,                0.35303,                0.08547,                0.09801,                0.03187,                 1.9451,                 3.7004,                 2.5841,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.2776,                 2.8781,                 2.7663,                0.16648,                0.28205,                0.14291,                0.04529,                 1.8901,                 5.5517,                 2.5001,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.2271,                 2.7282,                 2.6327,                0.16541,                0.40171,                0.17577,                0.06665,                 1.7768,                 7.0584,                 2.3874,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.1926,                 2.6701,                 2.6471,                0.18591,                 0.2906,                0.18275,                0.06759,                 1.6757,                 15.973,                  2.377,               0.001604,               0.001604,               0.001604
                     23,                 2.2071,                 2.7253,                 2.6676,                0.12491,                 0.4188,                 0.1082,                0.04213,                  1.684,                 11.953,                 2.3815,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.1811,                  2.754,                 2.6383,                0.19516,                0.35897,                0.16203,                0.06272,                 1.7291,                 6.2649,                 2.3544,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.1229,                 2.6848,                 2.6308,                0.26806,                0.39316,                0.26491,                0.10034,                 1.6679,                 7.6375,                  2.328,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.1776,                  2.645,                 2.6406,                0.18737,                0.26496,                0.13975,                0.04905,                  1.742,                 11.624,                 2.3732,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.1293,                 2.5208,                 2.5943,                0.20933,                0.46154,                0.23688,                0.09323,                 1.7309,                 4.5393,                 2.3385,               0.001505,               0.001505,               0.001505
                     28,                 2.0767,                  2.482,                 2.5547,                 0.2548,                0.39316,                0.21442,                0.08311,                 1.8358,                 4.7248,                 2.4959,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.0888,                 2.4034,                 2.5104,                0.26053,                0.35897,                0.21717,                0.07937,                  1.778,                 3.6079,                 2.3588,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.9952,                 2.3967,                 2.4622,                0.38097,                0.44444,                 0.3248,                0.12651,                 1.6347,                 4.3096,                 2.2454,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.0643,                  2.486,                 2.5373,                0.30012,                0.38851,                0.24082,                0.10023,                 1.7359,                 4.7162,                 2.3727,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.9605,                 2.3779,                 2.4443,                0.17657,                 0.4359,                0.14682,                0.05179,                  1.821,                 7.2166,                  2.567,               0.001406,               0.001406,               0.001406
                     33,                 1.9516,                 2.3036,                 2.4376,                0.30627,                0.41026,                0.25467,                0.09691,                 1.5504,                 5.6631,                 2.1811,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.9192,                  2.271,                  2.386,                 0.3732,                0.41026,                0.34238,                0.14232,                 1.5906,                 5.8301,                 2.2499,              0.0013664,              0.0013664,              0.0013664
                     35,                  1.956,                 2.3036,                 2.3773,                0.27722,                0.42735,                0.25243,                0.09932,                  1.517,                  4.979,                 2.1398,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8967,                  2.304,                 2.3768,                0.45153,                0.47863,                0.45497,                0.18823,                 1.5346,                 3.8262,                   2.15,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8555,                 2.2668,                 2.3446,                0.29276,                0.35043,                0.24796,                0.08269,                 1.9311,                 6.7874,                 2.7545,               0.001307,               0.001307,               0.001307
                     38,                 1.8293,                 2.2169,                  2.321,                0.28188,                0.31624,                0.27451,                0.12567,                 1.5117,                 3.6051,                  2.128,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7802,                 2.1303,                  2.271,                0.42692,                0.45299,                0.41953,                0.18412,                 1.4595,                 3.9932,                 2.1086,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7579,                 2.0753,                 2.2288,                0.35063,                0.46151,                0.35242,                0.14365,                 1.5385,                 3.7694,                 2.1885,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.782,                 2.1156,                 2.2475,                0.49895,                0.51282,                0.49509,                0.22065,                 1.4078,                 6.5232,                 2.0621,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7474,                 2.0182,                  2.236,                0.43971,                0.51282,                0.42362,                0.18411,                  1.444,                 2.7857,                 2.0718,               0.001208,               0.001208,               0.001208
                     43,                 1.7954,                 2.1515,                 2.2635,                0.30055,                0.41026,                0.25937,                0.10721,                 1.5647,                 4.2726,                 2.1901,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.787,                 2.0615,                 2.2304,                0.31925,                 0.4188,                0.32113,                 0.1371,                 1.5748,                 3.8275,                 2.1732,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7358,                 1.9767,                 2.2198,                  0.499,                0.61538,                0.48573,                0.24158,                 1.3004,                 3.2593,                 1.9294,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6918,                 1.9919,                 2.2073,                 0.4426,                0.49573,                0.49626,                0.24543,                 1.4073,                 3.3363,                 2.0632,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6822,                 1.9489,                 2.1627,                0.53133,                0.58974,                0.50738,                0.22389,                 1.4231,                 3.4177,                  2.003,               0.001109,               0.001109,               0.001109
                     48,                 1.6883,                 1.8902,                 2.1562,                0.52282,                 0.5641,                0.50384,                0.23769,                  1.411,                  3.548,                  2.008,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.6215,                 1.8775,                 2.1072,                0.46503,                0.53846,                 0.4682,                0.22986,                 1.4517,                 4.2455,                 2.1313,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.701,                 1.9815,                 2.1555,                0.55819,                0.60684,                0.54746,                 0.2614,                 1.3779,                 3.3531,                 2.0228,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6264,                 1.8919,                 2.1506,                0.49903,                 0.5641,                0.58609,                0.29487,                 1.3128,                 2.7847,                 1.9445,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6454,                 1.8754,                 2.1225,                0.59756,                0.60684,                0.58505,                 0.2681,                 1.4944,                 3.1118,                 2.1054,                0.00101,                0.00101,                0.00101
                     53,                 1.6186,                 1.8522,                 2.0972,                0.52514,                0.60684,                0.53951,                0.23413,                 1.4139,                 2.5957,                 1.9945,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6208,                  1.894,                 2.0972,                0.58043,                0.66667,                0.64133,                 0.3297,                  1.245,                 3.0887,                 1.8791,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6098,                 1.8524,                 2.0876,                0.59432,                0.65812,                0.61637,                0.31481,                  1.341,                  3.305,                 1.9453,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5804,                 1.8473,                 2.0835,                0.62055,                0.62393,                0.59444,                0.30382,                 1.2793,                 3.2708,                 1.8701,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5786,                 1.8066,                  2.062,                0.53886,                0.59925,                0.55881,                0.28962,                 1.2923,                 3.4759,                 1.8885,               0.000911,               0.000911,               0.000911
                     58,                 1.5444,                 1.7617,                 2.0295,                0.52931,                0.59829,                0.55176,                0.28276,                 1.3256,                 3.0974,                 1.9668,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5873,                 1.7973,                 2.0731,                0.47001,                0.47009,                0.46236,                0.20991,                 1.5335,                 3.3781,                 2.1128,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5787,                 1.8215,                 2.0522,                0.68735,                 0.5641,                0.64304,                0.34297,                 1.2467,                 2.7472,                 1.8274,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5737,                 1.7727,                 2.0465,                0.55325,                0.53846,                0.55394,                0.29002,                 1.3358,                 2.7579,                 1.9376,              0.0008318,              0.0008318,              0.0008318
                     62,                   1.54,                 1.7629,                 2.0377,                0.57751,                0.53846,                0.58382,                0.29815,                 1.3041,                 3.8776,                 1.9644,               0.000812,               0.000812,               0.000812
                     63,                 1.5563,                 1.8198,                 2.0443,                0.49137,                0.62754,                0.52946,                0.25353,                 1.3912,                 4.3314,                 2.0288,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5161,                  1.714,                  2.024,                0.60164,                0.64103,                0.64521,                0.37594,                 1.1827,                 2.7333,                 1.7735,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4762,                 1.6577,                 1.9787,                0.60523,                0.55037,                0.59274,                0.31865,                  1.212,                 3.7623,                 1.7719,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4789,                 1.6895,                 1.9644,                0.62449,                0.60684,                0.64434,                0.34752,                 1.1827,                 2.6647,                 1.7937,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.512,                 1.6983,                 2.0087,                0.66801,                0.61538,                0.62131,                0.31138,                 1.3121,                 3.0327,                 1.8798,               0.000713,               0.000713,               0.000713
                     68,                 1.5053,                 1.6919,                  1.974,                0.57289,                0.63055,                0.59377,                0.29894,                 1.2679,                 2.8118,                 1.8456,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4945,                 1.6901,                 2.0052,                0.72298,                0.58974,                0.68037,                 0.3821,                 1.1626,                 2.3909,                 1.7491,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4958,                 1.7346,                 1.9878,                0.64188,                0.67405,                0.67734,                0.37709,                 1.2159,                 2.0678,                 1.8361,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4393,                 1.6495,                 1.9365,                0.48624,                0.67521,                0.60209,                0.33101,                 1.2566,                 3.1123,                 1.8443,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4248,                 1.6193,                 1.9513,                0.60908,                0.62591,                0.63825,                0.32857,                 1.3406,                 1.9736,                 1.9386,               0.000614,               0.000614,               0.000614
                     73,                 1.4142,                 1.6263,                 1.9275,                0.62076,                0.60684,                0.65498,                0.35004,                  1.205,                 2.8715,                 1.7612,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.4503,                 1.6143,                 1.9618,                0.65022,                0.61965,                0.63552,                0.36724,                 1.2249,                 2.5452,                 1.8053,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4176,                 1.6127,                 1.9234,                0.67344,                0.59928,                0.68768,                 0.4012,                 1.1703,                 2.6516,                 1.7729,              0.0005546,              0.0005546,              0.0005546
